,product_id,noun_lemmatized,count,mean_polarity_nltk,mean_polarity_textblob,review_id,group,tb_importance
104,Lufthansa,flight,7,-0.10714285714285714,0.0,"[1264854844814372864 1264831882413461504 1264826958350897154
 1264818136869675008 1264796083294789632 1264792968457621507
 1264783104276697088]",food,0.0
105,Lufthansa,frankfurt,2,0.20095,0.0,[1264843215120863234],staff,0.0
106,Lufthansa,german economy ministry,1,0.0,0.0,[1264857568230486016],luggage,0.0
107,Lufthansa,government,18,0.0,0.0,"[1264862754562871297 1264862410692796416 1264861862446927872
 1264860895500369921 1264860142111080449 1264859361039593475
 1264858854015336448 1264858016316362753 1264856708045844481
 1264855296029138945 1264855073345032202 1264854865328685056
 1264854454442082304 1264854433193775104 1264853684288131072
 1264813098113945601 1264811606954905602 1264785973226999818]",luggage,0.0
108,Lufthansa,govt,4,0.0,0.0,"[1264853856195919872 1264853732736540673 1264853127393685505
 1264853105499406336]",luggage,0.0
109,Lufthansa,greyhound,6,0.0,0.0,"[1264862362693230594 1264851032221331456 1264786857910587392
 1264769241905012739 1264750367465668609 1264726459752632320]",staff,0.0
110,Lufthansa,it,5,0.0,0.08714285714285715,"[1264843711264915457 1264824012003303425 1264792968457621507
 1264729807738134528 1264724991901421568]",punctuality,0.4357142857142857
111,Lufthansa,legal date,2,0.064,0.1,[1264844295250432000],punctuality,0.2
112,Lufthansa,lufthansa,6,0.06363333333333333,0.03333333333333333,"[1264859947709468672 1264846148025700356 1264842975995146240
 1264821091756683264 1264820244553531392 1264728649691004928]",company,0.2
113,Lufthansa,lufthansa a380,1,0.0,0.0,[1264836858443423744],staff,0.0
114,Lufthansa,mar,1,0.0,0.0,[1264794368273047552],punctuality,0.0
115,Lufthansa,mid june,3,0.0,0.0,[1264859431931727872 1264859117988065280 1264796711454756865],punctuality,0.0
116,Lufthansa,offer,1,0.0,0.0,[1264820601811873792],punctuality,0.0
117,Lufthansa,on,2,0.0,0.0,[1264726075197685761 1264725698863747073],punctuality,0.0
118,Lufthansa,point,2,0.20095,0.39285714285714285,[1264846148025700356 1264821801252683781],punctuality,0.7857142857142857
119,Lufthansa,question,1,0.0,0.0,[1264842975995146240],punctuality,0.0
120,Lufthansa,refund,3,0.0,0.0,[1264832591812874246 1264820012004585472 1264723732226080768],punctuality,0.0
121,Lufthansa,rental,1,0.0,0.0,[1264843333261819904],punctuality,0.0
122,Lufthansa,right,1,0.128,0.2,[1264843711264915457],punctuality,0.2
123,Lufthansa,routesonline avgeek,1,0.0,0.0,[1264852348129685505],luggage,0.0
124,Lufthansa,schedule,2,0.0,0.0,[1264852348129685505 1264844765444616192],luggage,0.0
125,Lufthansa,shot,1,0.5994,0.85,[1264825081638912000],punctuality,0.85
126,Lufthansa,speed,1,0.0,0.15,[1264832591812874246],luggage,0.15
127,Lufthansa,spotlight,1,0.0,0.0,[1264848775106793472],punctuality,0.0
128,Lufthansa,stage,1,0.25,0.4,[1264857568230486016],punctuality,0.4
129,Lufthansa,t,1,0.0,-0.6666666666666666,[1264854852225634305],punctuality,-0.6666666666666666
130,Lufthansa,talk,1,0.0,0.0,[1264857568230486016],luggage,0.0
131,Lufthansa,than,1,0.0,-0.25,[1264852375740854273],punctuality,-0.25
132,Lufthansa,the second half of june,1,0.0,0.0,[1264818320148172801],punctuality,0.0
133,Lufthansa,these,1,0.0,0.0,[1264763373675151361],punctuality,0.0
134,Lufthansa,they,1,0.0,0.0,[1264821801252683781],punctuality,0.0
135,Lufthansa,this,14,0.0,0.0,"[1264832436363505664 1264726578690310145 1264726075197685761
 1264725698863747073 1264725103033516033 1264724793921683457
 1264723697711017984 1264720068690100225 1264719762577174529
 1264719426990911488 1264719088221216768 1264718656937680897
 1264718138223910912 1264717635184291841]",punctuality,0.0
136,Lufthansa,thumbnail,1,0.0,0.0,[1264847622633852928],punctuality,0.0
137,Lufthansa,time,1,0.0,0.15,[1264859962427277316],punctuality,0.15
138,Lufthansa,tit,2,-0.05135,-0.25,[1264847622633852928],luggage,-0.5
139,Lufthansa,value,2,0.0,0.06818181818181818,[1264857773549907974],luggage,0.13636363636363635
140,Lufthansa,way,1,0.0,0.0,[1264826958350897154],punctuality,0.0
141,Lufthansa,zone,1,0.0,0.0,[1264725445209198597],punctuality,0.0
