,product_id,review_id,noun,adj,rule,polarity_nltk,polarity_textblob
191,Air France,1263808763074617350,castles,forward,4,0.0,0.0
192,Air France,1263808188341784576,airliners,narrow,1,0.0,-0.2
193,Air France,1263808188341784576,family,airliners,7,0.0,0.0
194,Air France,1263808188341784576,a320,laun,7,0.0,0.0
195,Air France,1263808038911213573,this,good,3,0.4404,0.7
196,Air France,1263808017872584705,plane,largest,1,0.0,0.0
197,Air France,1263808017872584705,airline,suddenly,4,0.0,0.0
198,Air France,1263807721725296642,plane,largest,1,0.0,0.0
199,Air France,1263807721725296642,airline,suddenly,4,0.0,0.0
200,Air France,1263807687978037249,airline,suddenly,4,0.0,0.0
201,Air France,1263804861612617728,ones,worst,7,-0.6249,-1.0
202,Air France,1263804554983940097,air france,permanently,4,0.0,0.0
203,Air France,1263803196667056128,decision,very sensible,1,0.0,0.2
204,Air France,1263803196667056128,air france,permanently,4,0.0,0.0
205,Lufthansa,1264178780786040833,pop,french,1,0.0,0.0
206,Lufthansa,1264175242030641152,photo,busan,7,0.0,0.0
207,Lufthansa,1264174970382553088,area,viewing,1,0.0,0.0
208,Lufthansa,1264172863122268160,lufthansa,hi,6,0.0,0.0
209,Lufthansa,1264172811825958914,greyhounds,irish,1,0.0,0.0
210,Lufthansa,1264172585002192896,leader,spanish,1,0.0,0.0
211,Lufthansa,1264172585002192896,leader,ultra,1,0.0,0.0
212,Lufthansa,1264172585002192896,leader,right,1,0.0,0.2857142857142857
213,Lufthansa,1264172585002192896,wave,second,1,0.0,0.0
214,Lufthansa,1264172585002192896,distance,safe,1,0.4404,0.5
215,Lufthansa,1264168071905685504,prices,crude,1,-0.5719,-0.7
216,Lufthansa,1264165261059522560,greyhounds,irish,1,0.0,0.0
217,Lufthansa,1264164007864393730,greyhounds,irish,1,0.0,0.0
218,Lufthansa,1264162441937801217,level,professional,1,0.0,0.1
219,Lufthansa,1264162441937801217,interactions,par,7,0.0,0.0
220,Lufthansa,1264161854684753920,operations,normal,1,0.0,0.15
221,Lufthansa,1264159536178319360,flight,outbound,1,0.0,0.0
222,Lufthansa,1264158843870892032,deal,good,1,0.4404,0.7
223,Lufthansa,1264158843870892032,amsterdam,hot,1,0.0,0.25
224,Lufthansa,1264158722047315970,amsterdam,hot,1,0.0,0.25
225,Lufthansa,1264158460884791298,status,current,1,0.0,0.0
226,Lufthansa,1264158094461984768,june,8th,1,0.0,0.0
227,Lufthansa,1264157108657958912,idea,good,1,0.4404,0.7
228,Lufthansa,1264153779559174144,vivianaisen,lots,7,0.0,0.0
229,Lufthansa,1264152752290234368,talks,advanced,1,0.25,0.4
230,Lufthansa,1264152752290234368,government,federal,1,0.0,0.0
231,Lufthansa,1264152632324698112,people,stranded,1,0.0,0.0
232,Lufthansa,1264152416351633411,complaint,formal,1,0.0,0.0
233,Lufthansa,1264150811518685187,destinations,domestic,1,0.0,0.0
234,Lufthansa,1264149650162044929,it,not possible,3,0.0,0.0
235,Lufthansa,1264149074262949888,carriers,major,1,0.0,0.0625
236,Lufthansa,1264148209481506817,passport,british,1,0.0,0.0
237,Lufthansa,1264148209481506817,iteland,northern,1,0.0,0.0
238,Lufthansa,1264145753494167552,flights.there,international,1,0.0,0.0
239,Lufthansa,1264145753494167552,pib india aug sept,late,3,0.0,-0.3
240,Lufthansa,1264145348865425408,system,very sophisticated,1,0.5984,0.65
241,Lufthansa,1264145348865425408,it,system,7,0.0,0.0
242,Lufthansa,1264145284826791936,system,very sophisticated,1,0.5984,0.65
243,Lufthansa,1264145284826791936,it,system,7,0.0,0.0
244,Lufthansa,1264144759964213248,system,sophisticated,1,0.5574,0.5
245,Lufthansa,1264143301122199552,government,german,1,0.0,0.0
246,Lufthansa,1264143256344039424,provision,recent,1,0.0,0.0
247,Lufthansa,1264143256344039424,seats,free,1,0.5106,0.4
248,Lufthansa,1264143256344039424,seats,adjacent,1,0.0,0.0
249,Lufthansa,1264143244306284544,centre,open,3,0.0,0.0
250,Lufthansa,1264142639215116288,callback,not possible,3,0.0,0.0
251,Lufthansa,1264140828269858816,situation,current,1,0.0,0.0
252,Lufthansa,1264140828269858816,times,waiting,1,0.0,0.0
253,Lufthansa,1264140828269858816,than,usual,1,0.0,-0.25
254,Lufthansa,1264140828269858816,intervals,short,1,0.0,0.0
255,Lufthansa,1264140828269858816,intervals,regular,1,0.0,0.0
256,Lufthansa,1264140828269858816,times,longer,3,0.0,0.0
257,Lufthansa,1264140640146853888,company,busy,3,0.0,0.1
258,Lufthansa,1264140241700519937,government,german,1,0.0,0.0
259,Lufthansa,1264138685378953216,checks,major,1,0.0,0.0625
260,Lufthansa,1264137326734827520,request,archived,3,0.0,0.0
261,Lufthansa,1264136051393622017,deadlines,usual,1,0.0,-0.25
262,Lufthansa,1264136051393622017,way,odd,1,-0.3182,-0.16666666666666666
263,Lufthansa,1264136051393622017,de,legally required,1,0.1027,0.2
264,Lufthansa,1264136051393622017,deadlines,way,7,0.0,0.0
265,Lufthansa,1264135385220894721,they,select,4,0.0,0.0
266,Lufthansa,1264134893774213120,cities,french,1,0.0,0.0
267,Lufthansa,1264134186593652737,qatar sovereign wealth fund,sovereign,1,0.0,0.0
268,Lufthansa,1264134186593652737,lower saxony,lower,1,-0.296,0.0
269,Lufthansa,1264131204552548358,times,difficult,1,-0.3612,-0.5
270,Lufthansa,1264131121169629185,situation,legal,1,0.128,0.2
271,Lufthansa,1264131121169629185,lufthansa,aware,3,0.0,0.25
272,Lufthansa,1264131060285222912,shareholding,chinese,1,0.0,0.0
273,Lufthansa,1264131060285222912,capitalism,predatory,1,0.0,0.0
274,Lufthansa,1264131060285222912,shareholding,capitalism,7,0.0,0.0
275,Lufthansa,1264130583409508353,christian capanang,christian,1,0.0,0.0
276,Lufthansa,1264130556230541312,minister,german,1,0.0,0.0
277,Lufthansa,1264130556230541312,government,german,1,0.0,0.0
278,Lufthansa,1264130556230541312,aviation,troubled,1,-0.4588,-0.5
279,Lufthansa,1264129197146017797,datteln4 keine zeiten für hoffnung,datteln4,1,0.0,0.0
280,Lufthansa,1264129196135198725,airline,best,1,0.6369,1.0
281,Lufthansa,1264129196135198725,lufthansa,by far,4,0.0,0.1
282,Lufthansa,1264129196135198725,lufthansa,airline,7,0.0,0.0
283,Lufthansa,1264127924422262784,circumstances,extraordinary,1,0.0,0.3333333333333333
284,Lufthansa,1264127746676006913,seats,available,3,0.0,0.4
